R2-USB1,156.37,47.37,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,124.39,40.43,0.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,57.70,35.31,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,55.22,35.11,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,59.74,35.31,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,68.39,18.41,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,5.08,99.11,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,63.74,14.11,180.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,75.00,24.21,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,64.00,108.81,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,19.58,108.31,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,89.42,48.44,0.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,44.69,108.11,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,70.88,15.63,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,60.33,108.01,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SD0805S020S1R0,121.66,35.48,270.00,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
SENSOR2,156.23,9.62,270.00,BME688,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,63.66,11.54,180.00,,SJ
TP1,10.61,74.99,0.00,TX,TP20R
TP10,24.39,45.31,0.00,EPD_CS,TP20R
TP11,5.79,40.39,0.00,EPD_DC,TP20R
TP12,16.34,75.31,0.00,EPD_RST,TP20R
TP13,24.39,75.01,0.00,EPD_3V3_C,TP20R
TP14,125.29,26.99,0.00,VBUS,TP20R
TP15,15.04,40.79,0.00,INT_RTC,TP20R
TP16,6.09,44.79,0.00,3V3,TP20R
TP17,56.84,11.39,0.00,EPD_3V3,TP20R
TP2,13.03,75.39,0.00,RX,TP20R
TP3,111.85,56.39,0.00,VBAT,TP20R
TP4,106.67,56.49,0.00,GND,TP20R
TP5,52.39,42.99,0.00,GND,TP20R
TP6,7.91,75.29,0.00,MISO,TP20R
TP7,15.03,45.39,0.00,MOSI,TP20R
TP8,11.65,44.79,0.00,SCK,TP20R
TP9,4.77,76.59,0.00,EPD_BUSY,TP20R
U1,16.00,58.41,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U2,142.00,46.62,0.00,MAX17048G+T10,SON50P200X200X80-9N
U3,45.29,59.46,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U4,85.37,55.75,270.00,DS3231SN#,SOIC127P1032X265-16N
